ticket_id,model,category,priority_reason,priority,sentiment,confidence,kb_article,reply,needs_human,latency_s,input_tokens,output_tokens,thinking_tokens,schema_errors,error
T001,Gemini 3.5 Flash-Lite,PAYMENT,Profanity bumps the payment-methods question base level from L to M.,M,frustrated,high,KB03,"We accept Visa, Mastercard, American Express, and PayPal for all plans. Bank transfer (wire/ACH) is available only on annual plans of $5,000 or more. You can update your payment method anytime in Settings > Billing > Payment method.",False,2.84,2820,124,0,,
T002,Gemini 3.5 Flash-Lite,PAYMENT,Information request about payment methods with no urgency.,L,neutral,high,KB03,"We accept Visa, Mastercard, American Express, and PayPal for all plans. Bank transfer (wire/ACH) is available only on annual plans of $5,000 or more. We do not accept cheques or cryptocurrency.",False,1.72,2819,110,0,,
T003,Gemini 3.5 Flash-Lite,REFUND,Refund status or problem where something is wrong is classified as High priority.,H,neutral,high,KB04,"Approved refunds are processed within 5 business days and take 5–10 business days to appear, depending on your bank. You can view your current refund status next to the invoice in Settings > Billing > Invoices. If your refund has not arrived 15 business days after approval, please reply with your invoice number so we can investigate.",True,1.72,2822,139,0,,
T004,Gemini 3.5 Flash-Lite,CONTACT,Questions about support hours or contact channels are classified as Low priority.,L,neutral,high,KB07,"Hello! You can reach a human during live hours (Monday-Friday, 8:00-20:00 GMT) by opening the chat widget in the bottom-right of the app and typing ""agent"". Platinum customers can also call their dedicated account manager.",False,1.7,2820,123,0,,
T005,Gemini 3.5 Flash-Lite,NEWSLETTER,Newsletter subscription request is a low priority information or courtesy request.,L,neutral,high,KB05,You can sign up for the monthly Nimbus newsletter by visiting nimbuscrm.example/newsletter or by going to Settings > Notifications > Newsletter in your account.,False,1.74,2817,99,0,,
T006,Gemini 3.5 Flash-Lite,NEWSLETTER,Newsletter unsubscribe requests are low priority as they are simple information requests with no urgency or risk.,L,neutral,high,KB05,"You can unsubscribe from the monthly Nimbus newsletter by clicking Unsubscribe at the bottom of any newsletter email, or by turning it off in Settings > Notifications > Newsletter. Changes take effect within 48 hours.",False,1.69,2824,114,0,,
T007,Gemini 3.5 Flash-Lite,ACCOUNT,"Customer is blocked from signing up, which is a high priority.",H,neutral,high,KB01,"Most sign-up errors are caused by an email already being registered, or the verification email going to spam. Please try using 'Forgot password' if your email is already in use, or check your spam folder for the verification link (which expires after 24 hours). If neither fixes the issue, please reply with a screenshot of the error so our support team can help.",True,1.78,2817,150,0,,
T008,Gemini 3.5 Flash-Lite,REFUND,Refund policy questions are classified as Medium priority.,M,neutral,high,KB04,"Monthly plans can be refunded in full within 14 days of the charge, and annual plans can be refunded in full within 30 days of purchase. Charges from billing errors are also always refunded.",False,2.11,2823,106,0,,
T009,Gemini 3.5 Flash-Lite,INVOICE,"The customer is asking to view an invoice, which is a medium priority task since they are not blocked and no money is at risk.",M,neutral,high,KB02,You can view and download all your invoices as a PDF by going to Settings > Billing > Invoices. You can easily search for bill #00108 there by its invoice number.,False,2.04,2819,122,0,,
T010,Gemini 3.5 Flash-Lite,CANCEL,"Any question about cancellation, exit or early-termination fees is High priority.",H,neutral,high,KB06,Cancelling an annual plan before the end of the 12-month term incurs an early exit fee equal to 2 months of your plan's price. You can check the exact early exit fee in Settings -> Billing -> Cancel subscription before confirming.,True,1.54,2814,120,0,,
T011,Gemini 3.5 Flash-Lite,CANCEL,"Any question about cancellation, exit or early-termination fees is High priority.",H,neutral,high,KB06,You can view your exact early exit fee in Settings -> Billing -> Cancel subscription before you confirm. Cancelling an annual plan before the end of the 12-month term incurs an early exit fee equal to 2 months of your plan's price. Nothing is charged until you confirm.,True,1.63,2820,128,0,,
