ticket_id,model,category,priority_reason,priority,sentiment,confidence,kb_article,reply,needs_human,latency_s,input_tokens,output_tokens,thinking_tokens,schema_errors,error
T001,Gemini 3.5 Flash-Lite,PAYMENT,Payment methods question with profanity bumps priority from L to M.,M,frustrated,high,KB03,"We accept Visa, Mastercard, American Express, and PayPal for all plans. Bank transfer (wire/ACH) is available only on annual plans of $5,000 or more. You can update your payment method in Settings > Billing > Payment method.",False,3.15,2954,121,0,,
T002,Gemini 3.5 Flash-Lite,PAYMENT,Questions about which payment methods exist are categorized as Low priority according to the rubric.,L,neutral,high,KB03,"We accept Visa, Mastercard, American Express, and PayPal for all plans. Bank transfer (wire/ACH) is also available on annual plans of $5,000 or more. We do not accept cheques or cryptocurrency.",False,1.59,2953,117,0,,
T003,Gemini 3.5 Flash-Lite,REFUND,Refund status or problem makes this a high priority ticket.,H,neutral,high,KB04,"Approved refunds are processed within 5 business days and take 5 to 10 business days to appear, depending on your bank. You can check your status next to the relevant invoice in Settings -> Billing -> Invoices. If your refund has not arrived 15 business days after approval, please reply with your invoice number so we can investigate.",True,1.83,2956,136,0,,
T004,Gemini 3.5 Flash-Lite,CONTACT,Asking to talk to a person is a Medium priority.,M,neutral,high,KB07,"I can certainly help you connect with a human. You can open the chat widget in the bottom-right corner of the app and type ""agent"" to reach a live support agent during our live hours (Monday through Friday, 8:00 to 20:00 GMT). Platinum customers can also call their dedicated account manager.",False,2.09,2954,134,0,,
T005,Gemini 3.5 Flash-Lite,NEWSLETTER,Newsletter subscription questions are low priority as they are information requests requiring no urgent action.,L,neutral,high,KB05,"Hello! You can sign up for the monthly Nimbus newsletter at nimbuscrm.example/newsletter or in Settings > Notifications > Newsletter. If you need any further assistance, please let us know.",False,1.9,2951,111,0,,
T006,Gemini 3.5 Flash-Lite,NEWSLETTER,Information or courtesy request; no action needed urgently.,L,neutral,high,KB05,"You can easily unsubscribe by clicking the Unsubscribe link at the bottom of any newsletter email, or by turning it off in Settings > Notifications > Newsletter. Changes take effect within 48 hours.",False,1.93,2958,104,0,,
T007,Gemini 3.5 Flash-Lite,ACCOUNT,"Customer is blocked from signing up, making this a high priority.",H,neutral,high,KB01,"Hello. Most sign-up errors are caused by an email already being registered, or the verification email going to spam (links expire after 24 hours). Please try using Forgot password if your email is already in the system. If neither fixes the issue, please contact support with a screenshot of the error so we can assist you further.",True,1.78,2951,135,0,,
T008,Gemini 3.5 Flash-Lite,REFUND,Refund policy questions are classified as Medium priority.,M,neutral,high,KB04,"Monthly plans can be refunded in full within 14 days of the charge, and annual plans can be refunded in full within 30 days of purchase. Charges from billing errors are also always refunded.",False,2.18,2957,106,0,,
T009,Gemini 3.5 Flash-Lite,INVOICE,"Customer needs to view an invoice, which is a medium priority task without blocking issues or risk.",M,neutral,high,KB02,"You can view and download your invoice as a PDF by going to Settings > Billing > Invoices and searching by the invoice number. If you are not an admin or billing contact, please ask your workspace admin to add you as a billing contact to view invoices.",False,1.81,2953,134,0,,
T010,Gemini 3.5 Flash-Lite,CANCEL,"Any question about cancellation, exit or early-termination fees is High priority.",H,neutral,high,KB06,Cancelling an annual plan before the end of the 12-month term incurs an early exit fee equal to 2 months of your plan's price (for all users on the plan). You can view the exact early exit fee in Settings > Billing > Cancel subscription before confirming anything. Please note that nothing is charged until you confirm.,True,1.66,2948,138,0,,
T011,Gemini 3.5 Flash-Lite,CANCEL,"Any question about cancellation, exit or early-termination fees is classified as High priority.",H,neutral,high,KB06,Cancelling an annual plan before the end of the 12-month term incurs an early exit fee equal to 2 months of your plan's price. You can view the exact early exit fee in Settings -> Billing -> Cancel subscription before you confirm.,True,1.79,2954,123,0,,
T012,Gemini 3.5 Flash-Lite,FEEDBACK,Leaving reviews or positive feedback is classified as Low priority.,L,neutral,high,KB08,"We would love to hear your feedback! You can easily leave a review or product feedback by using Help → Give feedback in the app, or by visiting the feedback form at nimbuscrm.example/feedback. All feedback goes directly to our product team.",False,1.71,2953,130,0,,
